"------------------------------------------------------------------------------------------"
"  Daily average atmospheric gas concentrations derived from flask air samples"
"  For Alert, NWT, Canada: Latitude 82.3N Longitude 62.3W Elevation 210m"
" Source: R. F. Keeling and S. J. Walker                                                  "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
" Scripps Institution of Oceanography (SIO)                                               "
" University of California                                                                "
" La Jolla, California USA 92093-0244                                                     "
"                                                                                          "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data in this file from archive dated 2024-04-19 10:43:25                            "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and "
"   oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps  "
"   Institution of Oceanography, San Diego, 88 pages, 2001.                                 "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and     "
"   oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,     "
"   in 'A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems',   "
"   editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,               "
"   New York, 2005.                                                                         "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                         "
" Isotopic data are reported on the Scripps Isotope scale"
" See:"
" T. Lueker, R. Keeling, A. Bollenbacher, S. Walker, E. Morgan,"
" M. Brooks, Calibration Methodology for the Scripps 13C/12C and 18O/16O"
" stable Isotope program 1992-2018, 2020"
"                                                                                         "
" CO2 concentrations are reported on the Scripps '12' Calibration scale""
""
"   Sampling dates are reported in 3 formats: Year, Month, Day, Hour and Minute"
"                                             MSExcel spreadsheet date format"
"                                             Decimal year and fractional year"
" N   - Number of flasks used in daily average"
""
"                                                                                           "
" FGC -   CO2 Flags                                                                         "
"  -3 - Potentially Suspect Data Accepted                                                   "
"  -2 - Accepted value from continuous analyzer                                             "
"  -1 - Accepted flask value retained although individual measurements deviated             "
"       by more than selected tolerance                                                     "
"   0 - Accepted flask value                                                                "
"   1 - Rejected during analysis                                                            "
"   2 - Rejected unacceptably large flask-analyzer differences associated                   "
"                with night sampling (used only at MLO between Dec 1962 and Sep 1968)       "
"   3 - Rejected flask measurement; used continuous data instead                            "
"   4 - Rejected Replicates do not agree to selected tolerance of 0.40 or is a single flask "
"   5 - Rejected Daily average deviates from fit by more than 3 standard deviations         "
"   6 - Rejected to improve local distribution of data such as too many                     "
"                data of generally poor quality (used only at two stations:                 "
"                KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)                       "
"   7 - Rejected Unsteady air at site (La Jolla only)                                       "
"   8 - Rejected manually (see input/flag_flasks.csv)                                       "
"   9 - Rejected legacy data                                                                "
"                                                                                           "
"FGM, FGO, Methane and Carbon monoxide flag values                                          "
"  -3 - Suspect but accepted value                                                          "
"   0 - Accepted value                                                                      "
"   3 - Rejected                                                                            "
"   5 - Outlier from fit                                                                    "
"   9 - Flask not analyzed                                                                  "
"                                                                                           "
"FG3, FG8, FG4 : Isotope 13C, 18O and 14C measurement flag value                            "
"  -3 - Suspect but accepted isotopic measurement                                           "
"  -1 - Accepted isotopic measurement, sample was refrozen                                  "
"   0 - Accepted isotopic measurement                                                       "
"   3 - Rejected                                                                            "
"   5 - Outlier from fit                                                                    "
"   6 - Other rejected, legacy data                                                         "
"   8 - Flask extracted but not analyzed yet                                                "
"   9 - Flask not extracted                                                                 "
"                                                                                           "
"                                                                                           "
" Averages for CO2 CH4 CO 13C 18O have been filtered by deviation from curve fit.           "
"                                                                                           "
""
" CO2     - CO2 value ppm"
" CH4     - CH4 value ppb"
" CO      - CO  value ppb"
" 13C-CO2 - 13C-CO2 value per-mil"
" 18O-CO2 - 18O-CO2 value per-mil"
""
"   Sample,Sample,    Excel,   Sample, NC,FGC,     CO2, NM,FGM,     CH4, NO,FGO,     CO, N13,FG3,13C-CO2,N18,FG8,18O-CO2,N14,FG4,14C-CO2"
"     Date,  Time,     Date,     Date,"
0000-00-00, 00:00, -693960.00,   -0.003,  2,  1,  407.09,  2,  1, 1945.55,  2,  1,  290.33,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-05-06, 19:43, 31173.82, 1985.345,  2,  0,  352.17,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -8.042,  1,  0, -0.817,  0,  9,    NaN
1985-05-13, 00:00, 31180.00, 1985.362,  2,  0,  352.88,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -8.072,  1,  0, -0.877,  0,  9,    NaN
1985-05-20, 19:27, 31187.81, 1985.383,  2,  0,  352.67,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -8.112,  1,  0, -0.947,  0,  9,    NaN
1985-05-27, 18:29, 31194.77, 1985.402,  2,  4,  351.96,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-06-03, 18:29, 31201.77, 1985.421,  2,  4,  352.12,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-06-10, 18:05, 31208.75, 1985.440,  2,  0,  348.63,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.972,  1,  0, -0.367,  0,  9,    NaN
1985-06-24, 19:08, 31222.80, 1985.479,  2,  4,  350.40,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-07-01, 19:00, 31229.79, 1985.498,  2,  4,  349.50,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-07-08, 21:14, 31236.88, 1985.517,  2,  0,  344.81,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.732,  1,  0, -0.491,  0,  9,    NaN
1985-07-15, 19:17, 31243.80, 1985.536,  2,  0,  343.36,  0,  3,     NaN,  0,  3,     NaN,  1,  3, -7.452,  1,  3, -0.621,  0,  9,    NaN
1985-07-22, 19:13, 31250.80, 1985.556,  2,  4,  341.83,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-07-29, 19:23, 31257.81, 1985.575,  2,  0,  339.91,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.572,  1,  0, -1.131,  0,  9,    NaN
1985-08-26, 15:28, 31285.64, 1985.651,  1,  4,  337.17,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-09-02, 15:02, 31292.63, 1985.670,  2,  0,  337.38,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.412,  1,  0, -1.981,  0,  9,    NaN
1985-09-10, 15:03, 31300.63, 1985.692,  2,  0,  338.78,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.452,  1,  0, -1.621,  0,  9,    NaN
1985-09-16, 15:24, 31306.64, 1985.709,  2,  0,  338.48,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.382,  1,  0, -1.481,  0,  9,    NaN
1985-09-23, 14:50, 31313.62, 1985.728,  2,  0,  338.89,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.602,  1,  0, -2.031,  0,  9,    NaN
1985-09-30, 15:19, 31320.64, 1985.747,  2,  4,  345.26,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-10-07, 15:07, 31327.63, 1985.766,  1,  4,  339.96,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-10-14, 15:20, 31334.64, 1985.785,  2,  0,  343.60,  0,  3,     NaN,  0,  3,     NaN,  1,  3, -7.812,  1,  3, -2.521,  0,  9,    NaN
1985-10-21, 14:56, 31341.62, 1985.804,  2,  0,  343.10,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.712,  1,  0, -1.681,  0,  9,    NaN
1985-10-28, 15:40, 31348.65, 1985.824,  2,  0,  343.93,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.732,  1,  0, -1.431,  0,  9,    NaN
1985-11-04, 16:45, 31355.70, 1985.843,  2,  0,  345.64,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.882,  1,  0, -1.541,  0,  9,    NaN
1985-11-12, 20:50, 31363.87, 1985.865,  1,  4,  349.18,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1985-12-02, 16:12, 31383.68, 1985.920,  2,  0,  347.13,  0,  3,     NaN,  0,  3,     NaN,  1,  0, -7.850,  1,  0, -1.128,  0,  9,    NaN
